0.0010253863142939	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  terrae
0.0002751036452983	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacter	 Mycolicibacter  sinensis
0.0018757066724888	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Hoyosella	 Hoyosella  subflava
0.0016506218717902	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycolicibacillus	 Mycolicibacillus  parakoreensis
0.0157059172043067	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium sp.
0.0253095353674497	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  amycolatum
0.0049518656153705	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  gerontici
0.0018006784055893	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  sp. sy039
0.0011254240034933	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  sp. CNCTC7651
0.0004001507567976	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  sp. NML98-0116
0.0002751036452983	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  sp. FDAARGOS 1242
0.0033512625881801	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  matruchotii
0.0031011683651815	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	 Corynebacterium  tuberculostearicum
